time_ms,car_id,pos_x,pos_y,pos_z,velocity_x,velocity_y,velocity_z,gear,engine_rpm,normalized_spline_pos
28729,7,-381.3133850097656,-2.537527322769165,945.9822998046875,44.61915588378906,0.6948644518852234,-25.62967300415039,5,8091,0.3460686504840851
28831,7,-377.8233337402344,-2.483128070831299,943.9805297851562,44.858909606933594,0.6659513711929321,-25.70206069946289,5,8153,0.3470596969127655
28935,7,-372.5538635253906,-2.4127354621887207,940.9646606445312,45.207176208496094,0.6047646403312683,-25.85388946533203,5,8197,0.3485582172870636
29039,7,-367.2449951171875,-2.3344805240631104,937.9288330078125,45.526790618896484,0.6737942099571228,-26.038101196289062,5,8264,0.3500625789165497
29143,7,-363.6857604980469,-2.2844932079315186,935.8927612304688,45.7309455871582,0.6322556734085083,-26.16691780090332,5,8297,0.3510679304599762
29267,7,-358.3166809082031,-2.204986810684204,932.8192749023438,46.03104019165039,0.725980281829834,-26.366058349609375,5,8351,0.35259124636650085
29371,7,-352.91363525390625,-2.116619110107422,929.72216796875,46.31485366821289,0.7571142315864563,-26.57448387145996,5,8405,0.3541257679462433
29474,7,-347.4812316894531,-2.0279557704925537,926.5953369140625,46.524871826171875,0.7534694075584412,-26.895912170410156,5,8453,0.35566943883895874
29573,7,-342.0301513671875,-1.9436701536178589,923.42236328125,46.64118957519531,0.711524486541748,-27.35157012939453,5,8506,0.35721898078918457
29675,7,-338.3905029296875,-1.8852910995483398,921.274169921875,46.676673889160156,0.7871530055999756,-27.720481872558594,5,8531,0.3582606911659241
29776,7,-332.92596435546875,-1.7961276769638062,917.9994506835938,46.73591613769531,0.682447612285614,-28.232959747314453,5,8609,0.3598349690437317
29891,7,-327.455322265625,-1.716779112815857,914.6631469726562,46.76433563232422,0.7616097927093506,-28.800315856933594,5,8624,0.3614165186882019
29991,7,-323.8069152832031,-1.6494245529174805,912.4017333984375,46.79279708862305,0.9210835099220276,-29.149599075317383,5,8656,0.3624780774116516
30097,7,-318.3257751464844,-1.5437242984771729,908.9677734375,46.911258697509766,0.8839794397354126,-29.53440284729004,5,8712,0.36407721042633057
30231,7,-314.6700439453125,-1.4746679067611694,906.6592407226562,46.78512954711914,0.8871484994888306,-29.619029998779297,6,7647,0.3651463985443115
30329,7,-309.1808166503906,-1.3734748363494873,903.1708374023438,46.98583221435547,0.8317650556564331,-29.975723266601562,6,7408,0.36675289273262024
30427,7,-303.67578125,-1.284939169883728,899.6451416015625,47.117515563964844,0.6612465381622314,-30.278261184692383,6,7461,0.3683681786060333
30527,7,-298.15447998046875,-1.210544466972351,896.0842895507812,47.260345458984375,0.6694802045822144,-30.57701873779297,6,7477,0.3699882924556732
30631,7,-292.614990234375,-1.1233196258544922,892.4923095703125,47.43560028076172,0.7904381155967712,-30.807607650756836,6,7513,0.371626615524292
30731,7,-288.90997314453125,-1.0630865097045898,890.0841064453125,47.5615234375,0.7738056182861328,-30.936914443969727,6,7548,0.3727192282676697
30835,7,-283.3327941894531,-0.9676642417907715,886.4531860351562,47.77055358886719,0.7983706593513489,-31.114347457885742,6,7585,0.3743637800216675
30939,7,-279.6010437011719,-0.9082164168357849,884.021728515625,47.908477783203125,0.7487917542457581,-31.230121612548828,6,7604,0.3754584789276123
31043,7,-273.9844970703125,-0.8174021244049072,880.3551025390625,48.08917236328125,0.807041585445404,-31.446352005004883,6,7634,0.37712177634239197
31147,7,-268.34869384765625,-0.7295990586280823,876.6611328125,48.2386589050293,0.6826185584068298,-31.697114944458008,6,7684,0.3787868618965149
31251,7,-264.5830078125,-0.6727173328399658,874.179931640625,48.31216812133789,0.7899829745292664,-31.917463302612305,6,7683,0.37990379333496094
31355,7,-258.9234924316406,-0.5875007510185242,870.427978515625,48.430294036865234,0.587479293346405,-32.19980239868164,6,7762,0.3815745413303375
31459,7,-253.24945068359375,-0.5109671950340271,866.642333984375,48.55567932128906,0.8375287652015686,-32.50481033325195,6,7743,0.3832615613937378
31564,7,-249.45852661132812,-0.4401668608188629,864.1002807617188,48.6462287902832,0.9092759490013123,-32.663551330566406,6,7798,0.384391725063324
31667,7,-243.75637817382812,-0.34900030493736267,860.2660522460938,48.82842254638672,0.6212688088417053,-32.87308883666992,6,7827,0.38609248399734497
31776,7,-238.03329467773438,-0.2971416115760803,856.4078979492188,49.0063591003418,0.41388604044914246,-33.07908248901367,6,7852,0.38778921961784363
31879,7,-234.20596313476562,-0.2581813633441925,853.8217163085938,49.123783111572266,0.5636675953865051,-33.225440979003906,6,7867,0.3889318108558655
31979,7,-228.4473114013672,-0.1939650923013687,849.9241333007812,49.32258987426758,0.47809940576553345,-33.38641357421875,6,7919,0.3906562030315399
32101,7,-220.7239227294922,-0.12151321768760681,844.7094116210938,49.7058219909668,0.5346639156341553,-33.438350677490234,6,7952,0.392954558134079
32206,7,-216.8397674560547,-0.07863970845937729,842.0994262695312,49.87363052368164,0.5532722473144531,-33.48931884765625,6,7984,0.39411303400993347
32312,7,-210.99191284179688,-0.020655758678913116,838.1721801757812,50.07931137084961,0.4085654318332672,-33.643001556396484,6,8025,0.3958563804626465
32415,7,-207.08058166503906,0.010450335219502449,835.54345703125,50.2081413269043,0.44525280594825745,-33.75597381591797,6,8032,0.39701464772224426
32519,7,-201.19386291503906,0.07894100993871689,831.5848388671875,50.412864685058594,0.619924008846283,-33.89763641357422,6,8078,0.39876648783683777
32619,7,-195.28219604492188,0.13287736475467682,827.612060546875,50.622982025146484,0.1740308254957199,-34.00996017456055,6,8179,0.4005337357521057
32741,7,-191.32794189453125,0.13640443980693817,824.9552612304688,50.770782470703125,0.0914410650730133,-34.11505889892578,6,8118,0.40170779824256897
32834,7,-185.37591552734375,0.1818629801273346,820.9530029296875,50.94989013671875,0.4490838944911957,-34.29292678833008,6,8179,0.4034845232963562
32933,7,-179.40672302246094,0.20926104485988617,816.927978515625,51.088775634765625,0.12859216332435608,-34.530242919921875,6,8188,0.40526577830314636
33044,7,-175.41873168945312,0.2292163372039795,814.2266845703125,51.16481018066406,0.37806957960128784,-34.72187423706055,6,8189,0.4064629077911377
33186,7,-167.42381286621094,0.26386135816574097,808.78662109375,51.344051361083984,0.09083867073059082,-35.0214958190918,6,8249,0.40885916352272034
33279,7,-161.40699768066406,0.27660566568374634,804.6766357421875,51.49955368041992,0.08872552961111069,-35.22311019897461,6,8290,0.41065871715545654
33381,7,-157.38601684570312,0.2796972990036011,801.9239501953125,51.60475158691406,0.024034986272454262,-35.349334716796875,6,8305,0.41186198592185974
33512,7,-151.33644104003906,0.2887028157711029,797.779296875,51.802547454833984,0.07126346230506897,-35.48189926147461,6,8337,0.4136781096458435
33612,7,-145.2637481689453,0.29161953926086426,793.621337890625,52.00714111328125,0.07453896105289459,-35.590904235839844,6,8355,0.4154958724975586
33695,7,-141.20086669921875,0.301877498626709,790.84326171875,52.16718292236328,0.14101248979568481,-35.62680435180664,6,8383,0.41671252250671387
33808,7,-135.0807647705078,0.3140203654766083,786.6764526367188,52.450130462646484,0.1296757310628891,-35.60308074951172,6,8405,0.4185411334037781
33905,7,-128.92677307128906,0.33745676279067993,782.5126953125,52.73194122314453,0.18350084125995636,-35.57290267944336,6,8445,0.42037758231163025
34020,7,-124.80695343017578,0.34257155656814575,779.7387084960938,52.90202331542969,-0.023577824234962463,-35.572723388671875,6,8472,0.4216000735759735
34111,7,-118.60160827636719,0.3495279848575592,775.5768432617188,53.151973724365234,0.16649064421653748,-35.59698486328125,6,8473,0.4234462380409241
34214,7,-114.45125579833984,0.3600237965583801,772.7974853515625,53.2613525390625,0.08585367351770401,-35.66799545288086,6,8518,0.42467910051345825
34324,7,-108.20942687988281,0.3757248818874359,768.6167602539062,53.436092376708984,0.23929649591445923,-35.78982162475586,6,8516,0.42653289437294006
34439,7,-101.95759582519531,0.40014153718948364,764.430419921875,53.248313903808594,0.13839465379714966,-35.64703369140625,6,8339,0.4283883571624756
34539,7,-97.83430480957031,0.4079909324645996,761.6712036132812,52.42911148071289,0.06946554780006409,-35.06665802001953,6,8099,0.4296136796474457
34644,7,-91.80528259277344,0.4167506694793701,757.6407470703125,50.61703872680664,0.16256684064865112,-33.827030181884766,6,7833,0.4314056932926178
34748,7,-85.98831176757812,0.4447901248931885,753.75439453125,48.89326095581055,0.20375210046768188,-32.66611099243164,6,7472,0.43313366174697876
34847,7,-82.22283172607422,0.4549581706523895,751.2383422851562,47.67850875854492,0.10384897142648697,-31.865930557250977,6,7334,0.434256374835968
34955,7,-76.74230194091797,0.47239089012145996,747.5733032226562,46.109310150146484,0.17773482203483582,-30.840436935424805,1,8608,0.4358854293823242
35059,7,-71.43350982666016,0.4879523813724518,744.0243530273438,44.64206314086914,0.1153925359249115,-29.834917068481445,5,8144,0.43746259808540344
35164,7,-66.29721069335938,0.5017126798629761,740.5956420898438,43.20130157470703,0.11863373219966888,-28.80904769897461,5,7869,0.43899300694465637
35267,7,-62.96721649169922,0.5151010751724243,738.3740234375,42.2347412109375,0.21651484072208405,-28.19629669189453,5,7746,0.4399814307689667
35371,7,-58.11333084106445,0.5370466709136963,735.1318359375,40.7665901184082,0.14554168283939362,-27.237165451049805,5,7422,0.4414261281490326
35475,7,-53.43370056152344,0.5555425882339478,732.0006103515625,39.25284957885742,0.18830513954162598,-26.309043884277344,1,8501,0.4428216516971588
35575,7,-50.41252899169922,0.5723907351493835,729.9749755859375,38.22389221191406,0.23144632577896118,-25.62664794921875,4,8425,0.4437194764614105
35679,7,-46.03042984008789,0.5942357182502747,727.0355224609375,36.71401596069336,0.14023743569850922,-24.638158798217773,4,8052,0.44502773880958557
35802,7,-41.82847595214844,0.6129175424575806,724.21728515625,35.15674591064453,0.1726466715335846,-23.56629180908203,4,7717,0.44628068804740906
35915,7,-37.81122970581055,0.62736576795578,721.5227661132812,33.542179107666016,0.07833615690469742,-22.526052474975586,4,7330,0.44747892022132874
36031,7,-35.240875244140625,0.6341487169265747,719.7935791015625,32.40388107299805,0.10355217009782791,-21.841108322143555,4,7140,0.44824549555778503
36122,7,-30.35523796081543,0.6494995355606079,716.484619140625,30.283952713012695,0.06966142356395721,-20.634740829467773,1,7182,0.4497022330760956
36237,7,-28.035388946533203,0.655005693435669,714.8934936523438,29.245317459106445,0.07600276172161102,-20.2081241607666,1,7970,0.450399249792099
36326,7,-24.711441040039062,0.664271891117096,712.55859375,27.564252853393555,0.07495316863059998,-19.74466323852539,3,7674,0.4514014720916748
36427,7,-22.60928726196289,0.6694945693016052,711.0247192382812,26.38871955871582,0.05549461022019386,-19.61798858642578,3,7449,0.45204246044158936
36527,7,-19.617305755615234,0.6657029986381531,708.7356567382812,24.801395416259766,-0.1337696760892868,-19.49492645263672,3,6968,0.4529668390750885
36637,7,-16.822420120239258,0.645296037197113,706.4580078125,22.997467041015625,-0.14991091191768646,-19.552757263183594,3,6889,0.45384854078292847
36738,7,-15.075715065002441,0.6357020139694214,704.9219360351562,21.847078323364258,-0.11136983335018158,-19.817087173461914,3,6747,0.45442065596580505
36848,7,-12.62028694152832,0.6221541166305542,702.5784301757812,20.154260635375977,-0.11052868515253067,-20.230335235595703,3,6528,0.45525071024894714
36965,7,-10.367273330688477,0.6120474338531494,700.1854858398438,18.418350219726562,-0.07565081864595413,-20.663537979125977,3,6346,0.45605534315109253
37071,7,-8.310591697692871,0.6017469167709351,697.734375,16.790925979614258,-0.09613664448261261,-21.263870239257812,3,6256,0.45683753490448
37179,7,-7.044132232666016,0.594460129737854,696.0560913085938,15.724727630615234,-0.09047023952007294,-21.753808975219727,3,6216,0.45735329389572144
37275,7,-5.299749851226807,0.5838501453399658,693.4686889648438,14.141716957092285,-0.09467747062444687,-22.452322006225586,3,6175,0.45811712741851807
37379,7,-4.2387824058532715,0.5761637091636658,691.6990356445312,13.106780052185059,-0.10280130058526993,-22.91023063659668,3,6189,0.458624005317688
37552,7,-2.7939248085021973,0.563400149345398,688.97412109375,11.640188217163086,-0.1091475635766983,-23.657739639282227,3,6235,0.459383487701416
37609,7,-1.5179775953292847,0.5513036847114563,686.1642456054688,10.214334487915039,-0.09895291179418564,-24.33516502380371,3,6246,0.46014857292175293
37741,7,-0.41410475969314575,0.5555682182312012,683.2826538085938,8.850626945495605,0.06934422254562378,-24.97567367553711,3,6279,0.4609150290489197
37820,7,0.5705843567848206,0.5701828002929688,680.3347778320312,8.078346252441406,-0.028119675815105438,-25.374088287353516,3,6433,0.461688369512558
37933,7,1.4767953157424927,0.5298073887825012,677.3471069335938,7.343034744262695,-0.5658033490180969,-25.713552474975586,3,6961,0.4624681770801544
38027,7,2.0218448638916016,0.47557559609413147,675.3292236328125,6.587563991546631,-0.7241392135620117,-26.1279296875,3,6655,0.4630012810230255
38164,7,2.6520328521728516,0.4692094624042511,672.2164306640625,4.645477294921875,0.3775908052921295,-26.943599700927734,3,6670,0.46379780769348145
38247,7,3.188223123550415,0.47879067063331604,669.0400390625,4.698172092437744,-0.18724949657917023,-27.30527114868164,3,7652,0.4646100699901581
38351,7,3.786205530166626,0.45434191823005676,665.809814453125,5.520337104797363,-0.09443807601928711,-27.921489715576172,3,6819,0.46543022990226746
38456,7,4.22982931137085,0.4499887526035309,663.6144409179688,5.7928385734558105,-0.07094152271747589,-28.354421615600586,3,7017,0.46598395705223083
38559,7,4.92833137512207,0.4309054911136627,660.2550048828125,6.175662517547607,-0.21264056861400604,-29.065338134765625,3,7118,0.4668242037296295
38667,7,5.696485996246338,0.407590389251709,656.824462890625,7.0011749267578125,-0.2029370218515396,-29.516075134277344,3,7566,0.4676888883113861
38786,7,6.276363849639893,0.3950575590133667,654.504638671875,7.8613152503967285,-0.07671122997999191,-29.878299713134766,3,7437,0.46827542781829834
38884,7,7.256194114685059,0.37116363644599915,650.98876953125,8.877181053161621,-0.32057493925094604,-30.256296157836914,3,7756,0.46916818618774414
38983,7,8.379344940185547,0.35109826922416687,647.4251708984375,10.224891662597656,-0.07080763578414917,-30.61681365966797,3,7783,0.4700849950313568
39084,7,9.20235538482666,0.3402642607688904,645.027099609375,10.845243453979492,-0.19563403725624084,-30.876312255859375,3,7950,0.47070762515068054
39185,7,10.530234336853027,0.31829726696014404,641.3887939453125,11.850210189819336,-0.11845168471336365,-31.30072593688965,3,8013,0.471661776304245
39285,7,11.480198860168457,0.31471148133277893,638.93701171875,12.463544845581055,0.004688885994255543,-31.556730270385742,3,8151,0.47231000661849976
39391,7,12.988138198852539,0.31942397356033325,635.2191772460938,13.285955429077148,0.06633937358856201,-31.98136329650879,3,8304,0.4733046293258667
39491,7,14.590024948120117,0.3273349702358246,631.4537963867188,14.077864646911621,0.05901550129055977,-32.36552810668945,3,8481,0.4743189215660095
39594,7,15.710797309875488,0.33226144313812256,628.919677734375,14.644787788391113,0.07942130416631699,-32.598731994628906,3,8552,0.47500675916671753
39699,7,17.475194931030273,0.3449292778968811,625.0869750976562,15.481980323791504,0.11613048613071442,-32.91175842285156,3,8708,0.47605636715888977
39799,7,18.704191207885742,0.35377171635627747,622.51171875,16.012939453125,0.11770500987768173,-33.112342834472656,3,8812,0.47676774859428406
39903,7,20.62517738342285,0.37133774161338806,618.6220703125,16.73778533935547,0.17228560149669647,-33.249855041503906,1,8593,0.4778466820716858
40007,7,22.620267868041992,0.3877428472042084,614.7261352539062,17.423612594604492,0.09626151621341705,-33.46055603027344,4,7255,0.47893720865249634
40111,7,24.706819534301758,0.3981066048145294,610.798828125,18.216907501220703,0.07782196253538132,-33.66334533691406,4,7380,0.48004576563835144
40216,7,26.148653030395508,0.40191203355789185,608.1675415039062,18.73637580871582,0.02378588356077671,-33.802921295166016,4,7439,0.480791836977005
40340,7,28.389198303222656,0.406730055809021,604.2018432617188,19.54506492614746,0.08377417176961899,-33.97990417480469,4,7531,0.48192641139030457
40419,7,30.723350524902344,0.4249560534954071,600.215576171875,20.320043563842773,0.2175687551498413,-34.160396575927734,4,7632,0.48307326436042786
40524,7,32.327945709228516,0.4443095326423645,597.5458984375,20.8082332611084,0.2820296883583069,-34.28666305541992,4,7705,0.4838463068008423
40631,7,34.808372497558594,0.48747512698173523,593.5244140625,21.572084426879883,0.45343607664108276,-34.44986343383789,4,7799,0.4850173890590668
40732,7,37.37606430053711,0.544169545173645,589.4841918945312,22.30206871032715,0.4958164095878601,-34.608089447021484,4,7918,0.48619863390922546
40836,7,39.135833740234375,0.5843155980110168,586.7805786132812,22.801605224609375,0.5415524840354919,-34.7098503112793,4,7970,0.48699501156806946
40935,7,41.84723663330078,0.6556280255317688,582.7108154296875,23.519453048706055,0.6817066669464111,-34.860782623291016,4,8070,0.48820286989212036
41048,7,43.69913864135742,0.7135336995124817,579.9865112304688,23.941179275512695,0.8231890201568604,-34.99307632446289,4,8126,0.4890146255493164
41139,7,46.53144836425781,0.8327133059501648,575.8768310546875,24.430755615234375,1.2467738389968872,-35.261051177978516,4,8226,0.49024510383605957
41249,7,49.41199493408203,1.0300406217575073,571.7322998046875,24.779354095458984,2.2028162479400635,-35.57939147949219,4,8283,0.4914887547492981
41347,7,52.325462341308594,1.3289377689361572,567.5480346679688,24.99532127380371,2.716384172439575,-35.9489631652832,4,8414,0.4927486777305603
41492,7,55.25801467895508,1.6495550870895386,563.3160400390625,25.118141174316406,2.82456374168396,-36.393394470214844,4,8471,0.4940206706523895
41606,7,58.201507568359375,1.999314308166504,559.0316772460938,25.200897216796875,3.096651077270508,-36.818904876708984,4,8583,0.4953042268753052
